text1,text2,label
Ghee,spinacia oleracea,0
ground turky,MINCED TURKEY,1
titanium white,vitamin E,0
iron,irn,1
E202,potassium sorbate,1
E214,ETHYL PARABEN,1
E123,amarant,1
E524,Ground Turkey,0
sunset yellow fcf,linum usitatissimum,0
Magnesium Hydroxide,quicklime,0
Hydrochloric Acid,lye,0
Ground Beef,hamburger meat,1
betanin,Beetroot Red,1
titanium dioxide,Titanium Dioxide,1
cholecalciferol,vitamin d3,1
E461,METHYL CELLULOSE,1
green s,hordeum vulgare,0
COPPER CHLOROPHYLLIN,LEUCINE,0
sodium lactate,SODIUM LACTATE,1
E301,monopotassium glutamate,0
tartaric acid,tartatic acid,1
hexamine,Cellulose,0
Calcium Chloride,Buttermilk,0
tomatoes,TOMATOS,1
sour creme,OMEGA 3,0
annatto,Quinoa,0
aspartam,aspartame,1
beetroot,calciam,0
Calcium Hydroxide,E526,1
ponceau,PONCEAU,1
Potassium Nitrate,potassium sulphate,0
E530,periclase,1
ponceau 4r,ferric oxide,0
Sodium Sulphite,E221,1
polydimethylsiloxane,duck magret,0
HEXAMETHYLENETETRAMINE,CAROTS,0
Benzoic Acid,benzoic acid,1
Benzoic Acid,Ammonium Carbonate,0
buttermilke,Buttermilk,1
Calcium Sulphite,Calcium Sulphite,1
guar flour,METHYL CELLULOSE,0
game hens,poussin,1
tomatos,Tomatoes,1
bromic acid potassium salt,LEUCINE,0
whey cheese,italian cheese,1
calcium sulphite,SOUR CREME,0
Potassium Metabisulphite,Potassium Metabisulphite,1
Aspartame,Aspartame,1
propylene glycol,PROPYLENE GLYCOL,1
Sunset Yellow,monoammonium glutamate,0
silver powder,pg alginate,0
E120,carmin,1
Potassium Bromate,BROMIC ACID POTASSIUM SALT,1
sodium metabisulphite,PHOSPHATE,0
NaHCO3,BAKING SODA,1
cheddar cheese,sweet cream butter,0
achiote,Chlorine,0
vegetable carbon,L-CYSTEINE,0
POTASSIUM BENZOATE,VEAL,0
Enzymes,lipase,1
oats,Oats,1
vitamin C,vitamin c,1
E120,aspartame,0
E153,sodium lactate,0
E515,Potassium Sulphate,1
propylene glycol,PROPYLENE GLYCOL,1
gum arabic,OMEGA 3,0
CITRATE,sorbitol,0
tartarazine,Tartrazine,1
licopene,E402,0
Riboflavin (Vitamin B2),RIBOFLAVIN,1
erythrosin,Erythrosine,1
brazil wax,sour cream,0
Alginic Acid,cacl2,0
LITHOL,Gelatin,0
caramel colour,Caramel Color,1
glycerin,greek yoghurt,0
ethyl para-hydroxybenzoate,ETHYL PARABEN,1
E920,CELLULOSE,0
chlorine,dha,0
ammonia water,BROMIC ACID POTASSIUM SALT,0
Amaranth,amarant,1
sulphur dioxide,sulfite,1
lutein,Sodium Nitrite,0
CARAMEL,calcium hydroxide,0
chlorophyll,Vegetable Carbon,0
ammonium chlor,hard cheese,0
Ammonium Hydroxide,ammonia water,1
Sodium Nitrite,SODIUM NITRITE,1
Cochineal,lisine,0
Sodium Ascorbate,sodium ascorbate,1
SODIUM CHLORIDE,minced beef,0
disodium ribonucleotide,KORN,0
sodium lactate,Sodium Lactate,1
yellow 5,rasins,0
E518,magnesium sulphate,1
petroleum jelly,MINERAL OIL,1
Sodium Nitrate,E251,1
Calcium Carbonate,cholecalciferol,0
E162,BETANIN,1
white beeswax,BEE WAX,1
h2o,H2O,1
Wheat,magnesiam,0
magnesia magma,sweet cream butter,0
propylene glycol,propylene glycol,1
Microcrystalline Cellulose,cellulose gel,1
potassium nitrate,Monopotassium Glutamate,0
chicken breat,Gelatin,0
potassium guanylate,ground turkey,0
vitamin b2,Riboflavin,1
Ricotta Cheese,lisine,0
E321,butylhydroxytoluene,1
E310,E527,0
carmoisine,azorubin,1
SODIUM CITRATE,periclase,0
Sodium Hydroxide,caustic soda,1
glycerol,glycerol,1
sulfuric acid,carnauba wax,0
SODIUM STEAROYL LACTYLATE,stearic,0
CALCIUM BENZOATE,cysteine hcl,0
Magnesium Oxide,E530,1
E223,VITAMIN C,0
E210,benzoate,1
glutamic acid,GLUTAMATE,1
E141,copper chlorophyllin,1
Titanium Dioxide,titanium white,1
monosodium glutamate,msg,1
datess,DATESS,1
E102,sulfite,0
E339,buttermilk,0
glycerine,Glycerol,1
ascorbic acid,vitamin c,1
heavy cream,WHIPPING CREAM,1
Magnesium Carbonate,SULFURIC ACID,0
vitamin D3,vitamin d3,1
Hydrochloric Acid,E635,0
Propylene Glycol Alginate,Propylene Glycol Alginate,1
Glycine,AMINOACETIC ACID,1
Oats,otes,1
carotenes,oats,0
calcium carbonate,vitamin C,0
potassium nitrate,vitis vinifera dried,0
CAROB GUM,KEPHIR,0
carnauba wax,palm wax,1
carmoisin,PROPYLENE GLYCOL,0
E330,CITRATE,1
Flaxseeds,FLAXSEED,1
sodium sorbate,CARAGEENAN,0
E300,Ascorbic Acid,1
E482,GELATINE,0
tartazine,tartarazine,1
E127,erythrosine,1
Enzymes,amylase,1
propylene glycol alginate,BUTER,0
DISODIUM RIBONUCLEOTIDE,milk,0
citrate,CITRATE,1
table salt,SODIUM CHLORIDE,1
Quinoline Yellow,QUINOLINE YELLOW,1
Cochineal/Carminic Acid,carminic acid,1
tartaric acid,TARTARIC ACID,1
cysteine,l-cysteine,1
Enzymes,enzymes,1
chlorine,beef joint,0
AZORUBINE,E153,0
minced beef,MINCED BEEF,1
Heavy Cream,WHIPPING CREAM,1
greek yoghurt,Oats,0
ammonium alginate,Magnesium Oxide,0
Baking Soda,E530,0
E122,brazil wax,0
Caramel Color,Caramel Color,1
annato,potassium bromate,0
Xanthan Gum,XANTHUM,1
hordeum vulgare,Barley,1
Alginic Acid,barle,0
sweet cream butter,buter,1
duck breast,duck breat,1
azodicarbonamide,wheet,0
cannabis sativa seeds,hemp seed,1
clarified butter,ghee,1
Calcium Sulphite,Sodium Bicarbonate,0
XANTHUM,mineral hydrocarbons,0
Chlorine Dioxide,cottage chese,0
E170,calcium carbonate,1
caramel coloring,CARAMEL,1
AGAR AGAR,GUARAN,0
bha,KEENWA,0
buckwheat,BUCKWHEET,1
SUNSET YELLOW,strained yogurt,0
green s,sodium bicarb,0
potassium chloride,glutamate,0
E224,Water,0
tartrazine,SODIUM STEAROYL LACTYLATE,0
gold powder,Gold,1
pectine,pectins,1
E223,sodium metabisulphite,1
E311,octyl gallate,1
Ground Beef,ground beef,1
E629,Calcium Guanylate,1
azobisformamide,chia seeds,0
benzoic,chlorine,0
phenylbenzene,silicon dioxide,0
sodium nitrite,Sodium Nitrite,1
calcium sorbate,calcium sorbate,1
carrageen,carageenan,1
glucose,glucoze,1
tartrazine,E170,0
chlorophyll,maltol,0
iron oxide,aluminum,0
ethyl paraben,glycerol,0
CHALK,Sorbic Acid,0
sodium bicarb,dipotassium inosinate,0
CHLOROPHYL,soda ash,0
diphenyl,Potatoes,0
beetroot red,beetroot,1
xanthan gum,Calcium Guanylate,0
CARAMEL,hexamine,0
IRN,hydrolyzed collagen,0
E160b,annato,1
betanin,calcium ascorbate,0
E333,PHOSPHATE,0
E213,Ascorbic Acid,0
Ammonium Chloride,Oats,0
Monoammonium Glutamate,AMMONIUM GLUTAMATE,1
hcl,BROMIC ACID POTASSIUM SALT,0
potassium carbonate,POTASH,1
triticum spelta,vitamin d,0
iron oxide,IRON OXIDE,1
Chlorine,Chlorine,1
potassium metabisulfite,creme cheese,0
E104,quinolin yellow,1
Quinoline Yellow,CARBON BLACK,0
quinoa,bananas,0
E518,calcium glutamate,0
dmps,PDMS,1
E140,chlorophyl,1
E401,sodium alginate,1
Corn,KORN,1
quinolin yellow,E252,0
Magnesium Oxide,ornges,0
Sorbic Acid,ACACIA GUM,0
E420,sorbite,1
Oranges,WHEY PROTEIN,0
Curcumin/Turmeric,E100,1
E635,Sodium Ribonucleotide,1
Magnesium Oxide,magnesia,1
Quinoline Yellow,E104,1
Shellac,LAC RESIN,1
gold,calcium guanylate,0
Buttermilk,buttermilk,1
GUARAN,E526,0
E415,E637,0
Calcium Inosinate,CALCIUM INOSINATE,1
gold powder,SORBIT,0
datess,Dates,1
caramel color,Caramel Color,1
calcium chlor,Calcium Chloride,1
flaxseeds,FLAXSEED,1
beef joint,POT ROAST,1
sodium sulphite,Sodium Sulphite,1
E524,banans,0
ALUMINUM,E627,0
milk,whole milke,1
E100,Calcium Bisulfite,0
E624,monoammonium glutamate,1
Apples,Apples,1
E212,potassium benzoate,1
Sunset Yellow,phosphoric,0
MAGNESIA,sea salt,0
l-cysteine,cysteine hcl,1
annatto,bixin,1
mineral hydrocarbons,MINERAL OIL,1
calcium stearoyl lactylate,CALCIUM STEAROYL LACTYLATE,1
CREME CHEESE,stearic,0
sulphur dioxide,E230,0
calcium phosphate,Calcium Phosphate,1
pectins,HARTSHORN,0
vitamin B2,RIBOFLAVIN,1
potassium pyrosulfite,POT ROAST,0
CALCIUM BISULFITE,omega 3,0
E621,sodium glutamate,1
glucose,GLUCOSE,1
ssl,sodium stearoyl lactylate,1
patent blue v,Patent Blue,1
duck breat,DUCK,1
AMARANTH,Barley,0
CARAGEENAN,potassium chlor,0
sodium citrate,VITAMIN C,0
E110,sunset yellow fcf,1
aluminium,ALUMINUM,1
sodium bicarbonate,bicarbonate of soda,1
Calcium Stearoyl Lactylate,E482,1
SODIUM PHOSPHATE,propylene glycol,0
Cream Cheese,Cream Cheese,1
indigotine,INDIGOTINE,1
LECTHIN,greek-style yogurt,0
sorbite,Vitamin C,0
chicken breast,Calcium,0
hydrolyzed collagen,gelatin,1
Potassium Hydroxide,CAUSTIC POTASH,1
cheddar cheese,Cheddar Cheese,1
Calcium Sulphate,E516,1
locust bean gum,LARIXINIC ACID,0
beef steak,FLAXSEED,0
maltol,hamburger meat,0
E223,SODIUM METABISULFITE,1
CALCIUM ASCORBATE,calciam,0
potassium inosinate,DIPOTASSIUM INOSINATE,1
soy lecithin,E338,0
pectine,lamb chops,0
lutein,shellac,0
e551,silicon dioxide,1
E481,sodium stearoyl lactylate,1
E509,Calcium Chloride,1
pot roast,beef roest,1
calcium sulphate,Calcium Sulphate,1
CHLORINE OXIDE,potatos,0
sodium sorbate,Sodium Citrate,0
ricota cheese,whey protein,0
WHEET,CELLULOSE,0
sodium citrate,sodium citrate,1
E516,CHLORINE GAS,0
MILK,essential amino acid,0
E104,beet red,0
glycerol,GLYCERIN,1
Sulphur Dioxide,ADA,0
BLACK PN,Microcrystalline Cellulose,0
ethyl 4-hydroxybenzoate,Calcium Ascorbate,0
Butylated Hydroxyanisole (BHA),butylhydroxyanisole,1
millet,milet,1
LITHOL,Potassium Chloride,0
Cheddar Cheese,CHEDDAR,1
Glycine,Glycine,1
Phosphoric Acid,veal cutlets,0
lye,caustic soda,1
Butter,BUTER,1
Beef Roast,beef roast,1
Calcium Benzoate,Calcium Benzoate,1
potassium sorbate,sodium metabisulfite,0
benzoic acid,Benzoic Acid,1
glutamic acid,glutamic,1
azorubin,propylene glycol,0
minced turkey,Ground Turkey,1
E513,LEUCINE,0
TARTAZINE,Omega-3 Fatty Acids,0
Maltodextrin,Maltodextrin,1
Potassium Nitrate,Potassium Hydroxide,0
ascorbic acid,ascorbate,1
E160b,Annatto,1
aqua,Whole Milk,0
E301,sodium ascorbate,1
CHALK,CHICKEN,0
cochineal extract,Calcium Guanylate,0
carbon black,vegetable black,1
Magnesium,magnesium citrate,1
SPELT,magnesium,0
turkey,TURKEY,1
Curcumin/Turmeric,tumeric,1
E173,sodium nitrate,0
cochineal,E637,0
Chlorine,chlorine,1
Tocopherols,VITAMIN E,1
Sodium Lactate,Hydrochloric Acid,0
dipotassium inosinate,DIPOTASSIUM INOSINATE,1
Black PN,BLACK PN,1
erithrosine,E515,0
Lecithin,soy lecithin,1
Sunset Yellow,SUNSET YELLOW,1
microcrystalline cellulose,cellulose,1
carbon black,POTASSIUM METABISULFITE,0
methenamine,Hexamine,1
potassium inosinate,DIPOTASSIUM INOSINATE,1
octyl gallate,chedder cheese,0
spelt,Spelt,1
Ethyl Maltol,ethyl maltol,1
Potassium Nitrate,Potassium Nitrate,1
E325,Sodium Lactate,1
calcium carb,Calcium Carbonate,1
Potassium Bromate,bromic acid potassium salt,1
sodium bicarb,Sodium Bicarbonate,1
sulphur dioxide,Sulphur Dioxide,1
Hemp Seeds,OMEGA 3,0
LUTEINE,salvia hispanica,0
riboflavin,vitamin B2,1
Beef Steak,beef cut,1
E132,indigo,1
msg,sodium glutamate,1
Mineral Hydrocarbons,chicken thighs,0
titanium dioxide,titanium oxide,1
E201,Sodium Sorbate,1
sulfuric acid,citrus sinensis,0
soda ash,sodium bicarbonite,0
E403,ammonium alginate,1
E330,citrate,1
E122,hemp seed,0
Silicon Dioxide,silica,1
pectins,gelatin,0
Dibasic acid,PHOSPHATE,0
Carmoisine/Azorubine,Carmoisine,1
indigotine,Citric Acid,0
polydimethylsiloxane,PDMS,1
fermented milk drink,kephir,1
black pigment,BLACK PN,1
Riboflavin,silver powder,0
petroleum wax,irn,0
benzoic,SODIUM BENZOATE,0
vegetable carbon,table salt,0
SILVER,E516,0
Chalk,CHALK,1
Potassium Metabisulphite,potassium metabisulphite,1
tartrate,msg,0
strained yogurt,Greek Yogurt,1
Annatto,ANNATO,1
E325,E625,0
carminic acid,BUCKWHEET,0
petroleum jelly,cannabis sativa seeds,0
Propyl Gallate,PROPYL GALLATE,1
E415,xanthan,1
HEXAMETHYLENETETRAMINE,Sodium Bicarbonate,0
E252,potassium nitrate,1
Beeswax,duck breast,0
ponceau,Ponceau 4R,1
Potassium Chloride,kcl,1
ASCORBYL PALMITATE,Salt,0
Sorbic Acid,GREEK YOGHURT,0
E400,Quinoa,0
indigo carmine,indigo,1
CAROB GUM,duck magret,0
Chalk,guar gum,0
GLUTAMATE,oats,0
soy lecithin,lecthin,1
BEE WAX,cornish hens,0
riboflavin,riboflavin,1
vitamin c,citrus sinensis,0
E160a,BETA CAROTENE,1
magnesia,MAGNESIA,1
potassium guanylate,distilled water,0
lithol rubine bk,Duck Breast,0
Beetroot Red,BETANIN,1
SODIUM METABISULFITE,Gelatin,0
E306,tocopherol,1
phosphate,phosphoric,1
Calcium Sorbate,flax seeds,0
Calcium Chloride,CACL2,1
ascorbyl palmitate,daucus carota,0
Sodium Carbonate,Sodium Carbonate,1
kephir,KEPHIR,1
methyl cellulose,METHYL CELLULOSE,1
beetroot,BETANIN,1
omega-3,omega 3,1
cellulose gel,lamb chops,0
cream cheese,Cream Cheese,1
E900,Dimethylpolysiloxane,1
riboflavin,RIBOFLAVIN,1
calcium citrate,Calcium Citrate,1
potassium metabisulfite,calcium stearoyl lactylate,0
calcium chloride,E924,0
phoenix dactylifera,Dates,1
Ground Turkey,minced turkey,1
glycerin,GLYCERINE,1
essential amino acid,lysine,1
agar,Agar,1
E481,SSL,1
maltodextrin,MALTODEXTRINE,1
ALGINATE,E625,0
black pn,BLACK PN,1
Sodium Lactate,SODIUM LACTATE,1
Alginic Acid,ALGINATE,1
gold leaf,chicken breast,0
tartaric acid,Tartaric Acid,1
ala,dha,1
E333,appls,0
potassium chloride,Potassium Chloride,1
magnesia magma,Magnesium Hydroxide,1
erithrosine,erythrosin,1
carminic acid,sodium ascorbate,0
ada,Azodicarbonamide,1
millet,Millet,1
Sour Cream,cultured cream,1
sodium phosphate,MILK,0
Copper Chlorophyll,beef stake,0
E110,Ascorbyl Palmitate,0
calcium carb,Potassium Hydroxide,0
E622,LARIXINIC ACID,0
aluminium powder,lac resin,0
E227,calcium bisulfite,1
E400,banans,0
vitamin c,VITAMIN C,1
Dates,datess,1
cochineal extract,Chicken Thighs,0
E412,Guar Gum,1
chlorine dioxide,CHLORINE OXIDE,1
cellulose,cellulose,1
methenamine,carots,0
chlorine,CHLORINE GAS,1
Calcium Alginate,Calcium Alginate,1
dark meat chicken,chicken this,1
Propylene Glycol,propylene glycol,1
E513,sulfuric acid,1
sulphur dioxide,sulfur dioxide,1
erythrosine bs,INDIGOTINE,0
pectins,PECTINE,1
Calcium Stearoyl Lactylate,csl,1
E905,soft cheese,0
disodium guanylate,silicon dioxide,0
gold,poultry breast,0
maltol,maltol,1
lipase,enzimes,1
E514,raisins,0
beet red,pectins,0
Calcium Benzoate,butylated hydroxyanisole,0
calcium guanylate,Calcium Guanylate,1
aspartame,ASPARTAM,1
chlorophyl,DIPOTASSIUM GUANYLATE,0
sulphur dioxide,sulfite,1
Riboflavin,Oats,0
carmoisin,MAGNESIA,0
sulphuric acid,ethyl maltol,0
RIBOFLAVIN,indigo,0
POTASSIUM ALGINATE,bee wax,0
minced turkey,MINCED TURKEY,1
Iron Oxides,IRON OXIDE,1
mineral oil,Cornish Hens,0
clarified butter,ryce,0
Caramel Color,CARAMEL,1
octadecanoic acid,stearic acid,1
COPPER CHLOROPHYLLIN,CHLORINE GAS,0
KORN,Vitamin C,0
pot cheese,CURD CHEESE,1
citric acid,citric,1
millet,MILET,1
Duck Breast,DUCK,1
sodium stearoyl lactylate,aminoacetic acid,0
carmin,grapes,0
hamburger meat,Cottage Cheese,0
sodium pyrosulfite,sweet cream butter,0
chedder cheese,Cheddar Cheese,1
caramel,SODIUM SULFATE,0
quicklime,sodium ribonucleotide,0
